%% LaTeX2e file `nit_cel.data'
%% generated by the `filecontents' environment
%% from source `report' on 2013/01/06.
%%
#Iterations Time [ms]
0 0
500 378
1000 729
1500 1067
2000 1408
2500 1775
3000 2145
3500 2515
4000 2922
4500 3307
5000 3706
